t_s,wall_time,spd_count,data0,data1,rpm_count,seq
0.002,23:21:51.467,0,28,30,7198,76
0.002,23:21:51.470,0,28,0,7168,76
0.002,23:21:51.470,0,28,2,7170,76
0.002,23:21:51.470,0,28,46,7214,76
0.002,23:21:51.471,0,28,58,7226,77
0.002,23:21:51.471,0,28,74,7242,77
0.002,23:21:51.471,0,28,38,7206,77
0.002,23:21:51.471,0,28,74,7242,77
0.002,23:21:51.472,0,28,60,7228,78
0.002,23:21:51.472,0,27,234,7146,78
0.002,23:21:51.472,0,28,14,7182,78
0.002,23:21:51.476,0,27,252,7164,78
0.002,23:21:51.476,0,27,254,7166,78
0.002,23:21:51.476,0,27,204,7116,78
0.002,23:21:51.476,0,27,218,7130,79
0.002,23:21:51.477,0,28,30,7198,79
0.002,23:21:51.477,0,28,8,7176,79
0.002,23:21:51.477,0,28,26,7194,79
0.002,23:21:51.477,0,28,34,7202,80
0.002,23:21:51.477,0,27,238,7150,80
0.002,23:21:51.478,0,27,206,7118,80
0.002,23:21:51.478,0,27,222,7134,80
0.002,23:21:51.478,0,27,234,7146,81
0.002,23:21:51.478,0,28,20,7188,81
0.002,23:21:51.478,0,27,220,7132,81
0.002,23:21:51.479,0,28,10,7178,81
0.002,23:21:51.479,0,28,72,7240,82
0.002,23:21:51.479,0,28,36,7204,82
0.002,23:21:51.479,0,28,32,7200,82
0.002,23:21:51.479,0,28,24,7192,82
0.002,23:21:51.480,0,27,246,7158,83
0.002,23:21:51.480,0,28,24,7192,83
0.002,23:21:51.480,0,28,56,7224,83
0.002,23:21:51.480,0,28,24,7192,83
0.002,23:21:51.481,0,27,252,7164,83
0.002,23:21:51.481,0,27,202,7114,84
0.002,23:21:51.481,0,28,42,7210,84
0.002,23:21:51.481,0,28,60,7228,84
0.002,23:21:51.481,0,28,90,7258,84
0.002,23:21:51.482,0,28,48,7216,85
0.002,23:21:51.482,0,27,218,7130,85
0.002,23:21:51.482,0,27,254,7166,85
0.002,23:21:51.482,0,28,34,7202,85
0.002,23:21:51.482,0,28,48,7216,86
0.002,23:21:51.483,0,28,12,7180,86
0.002,23:21:51.483,0,28,10,7178,86
0.002,23:21:51.483,0,28,98,7266,86
0.002,23:21:51.483,0,28,98,7266,87
0.002,23:21:51.483,0,28,100,7268,87
0.002,23:21:51.484,0,28,18,7186,87
0.002,23:21:51.484,0,28,44,7212,87
0.002,23:21:51.484,0,28,108,7276,88
0.002,23:21:51.484,0,28,28,7196,88
0.002,23:21:51.486,0,28,42,7210,89
0.002,23:21:51.486,0,28,24,7192,89
0.002,23:21:51.486,0,28,56,7224,89
0.002,23:21:51.486,0,28,86,7254,89
0.002,23:21:51.487,0,28,92,7260,89
0.002,23:21:51.487,0,28,90,7258,89
0.002,23:21:51.487,0,28,32,7200,90
0.002,23:21:51.487,0,28,20,7188,90
0.002,23:21:51.488,0,27,230,7142,90
0.002,23:21:51.488,0,27,214,7126,90
0.002,23:21:51.488,0,28,42,7210,91
0.002,23:21:51.489,0,28,86,7254,91
0.002,23:21:51.489,0,28,108,7276,91
0.002,23:21:51.489,0,28,100,7268,91
0.002,23:21:51.489,0,28,4,7172,92
0.002,23:21:51.490,0,27,250,7162,92
0.002,23:21:51.490,0,27,250,7162,92
0.002,23:21:51.490,0,27,238,7150,92
0.002,23:21:51.491,0,28,24,7192,92
0.002,23:21:51.491,0,28,62,7230,92
0.002,23:21:51.491,0,28,74,7242,93
0.002,23:21:51.491,0,28,92,7260,93
0.002,23:21:51.492,0,28,12,7180,93
0.002,23:21:51.492,0,28,26,7194,93
0.002,23:21:51.492,0,28,74,7242,94
0.002,23:21:51.492,0,28,58,7226,94
0.002,23:21:51.493,0,28,34,7202,94
0.002,23:21:51.493,0,28,38,7206,94
0.002,23:21:51.493,0,28,4,7172,95
0.002,23:21:51.493,0,28,58,7226,95
0.002,23:21:51.494,0,28,122,7290,95
0.002,23:21:51.494,0,28,110,7278,95
0.002,23:21:51.494,0,28,108,7276,95
0.002,23:21:51.494,0,28,92,7260,95
0.002,23:21:51.495,0,28,58,7226,96
0.002,23:21:51.495,0,28,30,7198,96
0.002,23:21:51.495,0,27,246,7158,96
0.002,23:21:51.495,0,27,242,7154,96
0.002,23:21:51.496,0,27,198,7110,97
0.002,23:21:51.496,0,28,8,7176,97
0.002,23:21:51.496,0,28,88,7256,97
0.002,23:21:51.496,0,28,82,7250,97
0.002,23:21:51.497,0,28,92,7260,98
0.002,23:21:51.497,0,28,56,7224,98
0.002,23:21:51.497,0,28,20,7188,98
0.002,23:21:51.497,0,28,24,7192,98
0.002,23:21:51.498,0,28,24,7192,98
0.002,23:21:51.498,0,28,70,7238,98
0.002,23:21:51.498,0,28,52,7220,99
0.002,23:21:51.498,0,28,44,7212,99
0.002,23:21:51.499,0,27,236,7148,99
0.002,23:21:51.499,0,28,30,7198,100
0.002,23:21:51.499,0,27,238,7150,100
0.002,23:21:51.499,0,28,38,7206,100
0.002,23:21:51.500,0,28,38,7206,101
0.002,23:21:51.500,0,28,32,7200,101
0.002,23:21:51.500,0,28,38,7206,101
0.002,23:21:51.500,0,28,40,7208,101
0.002,23:21:51.501,0,28,60,7228,101
0.002,23:21:51.501,0,28,68,7236,102
0.002,23:21:51.501,0,28,122,7290,102
0.002,23:21:51.501,0,28,62,7230,102
0.002,23:21:51.501,0,28,42,7210,103
0.002,23:21:51.502,0,28,62,7230,103
0.002,23:21:51.502,0,28,28,7196,103
0.002,23:21:51.502,0,28,38,7206,103
0.002,23:21:51.502,0,28,32,7200,104
0.002,23:21:51.503,0,28,44,7212,104
0.002,23:21:51.503,0,28,74,7242,104
0.002,23:21:51.503,0,28,106,7274,104
0.002,23:21:51.503,0,28,98,7266,105
0.876,23:21:52.319,0,28,16,7184,105
0.876,23:21:52.319,0,28,40,7208,105
0.876,23:21:52.319,0,28,32,7200,105
0.876,23:21:52.320,0,28,72,7240,105
0.876,23:21:52.320,0,28,72,7240,106
0.876,23:21:52.320,0,28,82,7250,106
0.876,23:21:52.320,0,28,0,7168,106
0.876,23:21:52.320,0,27,206,7118,107
0.876,23:21:52.321,0,27,210,7122,107
0.876,23:21:52.321,0,28,18,7186,107
0.876,23:21:52.321,0,28,22,7190,108
0.876,23:21:52.321,0,28,52,7220,108
0.876,23:21:52.323,0,28,66,7234,108
0.876,23:21:52.323,0,28,24,7192,108
1.615,23:21:53.057,0,28,20,7188,108
1.615,23:21:53.059,0,28,54,7222,108
1.615,23:21:53.059,0,28,28,7196,109
1.615,23:21:53.060,0,27,226,7138,109
1.615,23:21:53.060,0,27,250,7162,109
1.615,23:21:53.060,0,28,24,7192,110
1.615,23:21:53.061,0,27,234,7146,110
1.615,23:21:53.061,0,27,236,7148,110
1.615,23:21:53.061,0,27,252,7164,111
1.615,23:21:53.074,0,28,20,7188,111
1.615,23:21:53.074,0,28,26,7194,111
1.615,23:21:53.074,0,28,48,7216,111
2.338,23:21:53.780,0,28,2,7170,111
