Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.000036000,1,1,1,1,1,1,1,1
-0.000032750,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.000008750,0,1,1,1,1,1,1,1
0.000041500,1,1,1,1,1,1,1,1
0.000050250,0,1,1,1,1,1,1,1
0.000083000,1,1,1,1,1,1,1,1
0.000091750,0,1,1,1,1,1,1,1
0.000124500,1,1,1,1,1,1,1,1
0.000133250,0,1,1,1,1,1,1,1
0.000142000,1,1,1,1,1,1,1,1
0.000150750,0,1,1,1,1,1,1,1
0.000159500,1,1,1,1,1,1,1,1
0.000168250,0,1,1,1,1,1,1,1
0.000201000,1,1,1,1,1,1,1,1
0.000209750,0,1,1,1,1,1,1,1
0.000234500,1,1,1,1,1,1,1,1
0.000251250,0,1,1,1,1,1,1,1
0.000268000,1,1,1,1,1,1,1,1
0.000276750,0,1,1,1,1,1,1,1
0.000293500,1,1,1,1,1,1,1,1
0.000302250,0,1,1,1,1,1,1,1
0.000327000,1,1,1,1,1,1,1,1
0.000335750,0,1,1,1,1,1,1,1
0.000344500,1,1,1,1,1,1,1,1
0.018994000,0,1,1,1,1,1,1,1
0.019026500,1,1,1,1,1,1,1,1
0.019058000,0,1,1,1,1,1,1,1
0.019067000,1,1,1,1,1,1,1,1
0.019083500,0,1,1,1,1,1,1,1
0.019108500,1,1,1,1,1,1,1,1
0.019117000,0,1,1,1,1,1,1,1
0.019134000,1,1,1,1,1,1,1,1
0.019142500,0,1,1,1,1,1,1,1
0.019151500,1,1,1,1,1,1,1,1
0.019160000,0,1,1,1,1,1,1,1
0.019169000,1,1,1,1,1,1,1,1
0.019177500,0,1,1,1,1,1,1,1
0.019194500,1,1,1,1,1,1,1,1
0.019211000,0,1,1,1,1,1,1,1
0.019236000,1,1,1,1,1,1,1,1
0.019244500,0,1,1,1,1,1,1,1
0.019277500,1,1,1,1,1,1,1,1
0.019286000,0,1,1,1,1,1,1,1
0.019319000,1,1,1,1,1,1,1,1
0.019327500,0,1,1,1,1,1,1,1
0.019360500,1,1,1,1,1,1,1,1
0.019369000,0,1,1,1,1,1,1,1
0.019402000,1,1,1,1,1,1,1,1
0.019410500,0,1,1,1,1,1,1,1
0.019443500,1,1,1,1,1,1,1,1
0.019452000,0,1,1,1,1,1,1,1
0.019485000,1,1,1,1,1,1,1,1
0.019493500,0,1,1,1,1,1,1,1
0.019526500,1,1,1,1,1,1,1,1
0.019535000,0,1,1,1,1,1,1,1
0.019568000,1,1,1,1,1,1,1,1
0.019576500,0,1,1,1,1,1,1,1
0.019609500,1,1,1,1,1,1,1,1
0.019618000,0,1,1,1,1,1,1,1
0.019651000,1,1,1,1,1,1,1,1
0.019659500,0,1,1,1,1,1,1,1
0.019692500,1,1,1,1,1,1,1,1
0.019701000,0,1,1,1,1,1,1,1
0.019734000,1,1,1,1,1,1,1,1
0.019742500,0,1,1,1,1,1,1,1
0.019751500,1,1,1,1,1,1,1,1
0.019760000,0,1,1,1,1,1,1,1
0.019769000,1,1,1,1,1,1,1,1
0.019777500,0,1,1,1,1,1,1,1
0.019810500,1,1,1,1,1,1,1,1
0.019819000,0,1,1,1,1,1,1,1
0.019844000,1,1,1,1,1,1,1,1
0.019860500,0,1,1,1,1,1,1,1
0.019877500,1,1,1,1,1,1,1,1
0.019886000,0,1,1,1,1,1,1,1
0.019903000,1,1,1,1,1,1,1,1
0.019911500,0,1,1,1,1,1,1,1
0.019936500,1,1,1,1,1,1,1,1
0.019945000,0,1,1,1,1,1,1,1
0.019954000,1,1,1,1,1,1,1,1
0.019978500,0,1,1,1,1,1,1,1
0.019995500,1,1,1,1,1,1,1,1
0.021572000,0,1,1,1,1,1,1,1
0.021604250,1,1,1,1,1,1,1,1
0.021636000,0,1,1,1,1,1,1,1
0.021644750,1,1,1,1,1,1,1,1
0.021653500,0,1,1,1,1,1,1,1
0.021662250,1,1,1,1,1,1,1,1
0.021670500,0,1,1,1,1,1,1,1
0.021687250,1,1,1,1,1,1,1,1
0.021696000,0,1,1,1,1,1,1,1
0.021704750,1,1,1,1,1,1,1,1
0.021721500,0,1,1,1,1,1,1,1
0.021730250,1,1,1,1,1,1,1,1
0.021739000,0,1,1,1,1,1,1,1
0.021747750,1,1,1,1,1,1,1,1
0.021756500,0,1,1,1,1,1,1,1
0.021773250,1,1,1,1,1,1,1,1
0.021798000,0,1,1,1,1,1,1,1
0.021814750,1,1,1,1,1,1,1,1
0.021823500,0,1,1,1,1,1,1,1
0.021856250,1,1,1,1,1,1,1,1
0.021865000,0,1,1,1,1,1,1,1
0.021897750,1,1,1,1,1,1,1,1
0.021906500,0,1,1,1,1,1,1,1
0.021939250,1,1,1,1,1,1,1,1
0.021948000,0,1,1,1,1,1,1,1
0.021980750,1,1,1,1,1,1,1,1
0.021989500,0,1,1,1,1,1,1,1
0.022022250,1,1,1,1,1,1,1,1
0.022031000,0,1,1,1,1,1,1,1
0.022063750,1,1,1,1,1,1,1,1
0.022072500,0,1,1,1,1,1,1,1
0.022105250,1,1,1,1,1,1,1,1
0.022114000,0,1,1,1,1,1,1,1
0.022146750,1,1,1,1,1,1,1,1
0.022155500,0,1,1,1,1,1,1,1
0.022188250,1,1,1,1,1,1,1,1
0.022197000,0,1,1,1,1,1,1,1
0.022229750,1,1,1,1,1,1,1,1
0.022246500,0,1,1,1,1,1,1,1
0.022271250,1,1,1,1,1,1,1,1
0.022296000,0,1,1,1,1,1,1,1
0.022312750,1,1,1,1,1,1,1,1
0.022337500,0,1,1,1,1,1,1,1
0.022346250,1,1,1,1,1,1,1,1
0.022354500,0,1,1,1,1,1,1,1
0.022363250,1,1,1,1,1,1,1,1
0.022372000,0,1,1,1,1,1,1,1
0.022380750,1,1,1,1,1,1,1,1
0.022389000,0,1,1,1,1,1,1,1
0.022405750,1,1,1,1,1,1,1,1
0.022414250,0,1,1,1,1,1,1,1
0.022423000,1,1,1,1,1,1,1,1
0.066648750,0,1,1,1,1,1,1,1
0.066681250,1,1,1,1,1,1,1,1
0.066712750,0,1,1,1,1,1,1,1
0.066721750,1,1,1,1,1,1,1,1
0.066738250,0,1,1,1,1,1,1,1
0.066763250,1,1,1,1,1,1,1,1
0.066771750,0,1,1,1,1,1,1,1
0.066788750,1,1,1,1,1,1,1,1
0.066797250,0,1,1,1,1,1,1,1
0.066806250,1,1,1,1,1,1,1,1
0.066814750,0,1,1,1,1,1,1,1
0.066823750,1,1,1,1,1,1,1,1
0.066832250,0,1,1,1,1,1,1,1
0.066849250,1,1,1,1,1,1,1,1
0.066865750,0,1,1,1,1,1,1,1
0.066890750,1,1,1,1,1,1,1,1
0.066899250,0,1,1,1,1,1,1,1
0.066932250,1,1,1,1,1,1,1,1
0.066940750,0,1,1,1,1,1,1,1
0.066973750,1,1,1,1,1,1,1,1
0.066982250,0,1,1,1,1,1,1,1
0.067015250,1,1,1,1,1,1,1,1
0.067023750,0,1,1,1,1,1,1,1
0.067056750,1,1,1,1,1,1,1,1
0.067065250,0,1,1,1,1,1,1,1
0.067098250,1,1,1,1,1,1,1,1
0.067106750,0,1,1,1,1,1,1,1
0.067139750,1,1,1,1,1,1,1,1
0.067148250,0,1,1,1,1,1,1,1
0.067181250,1,1,1,1,1,1,1,1
0.067189750,0,1,1,1,1,1,1,1
0.067222750,1,1,1,1,1,1,1,1
0.067231250,0,1,1,1,1,1,1,1
0.067264250,1,1,1,1,1,1,1,1
0.067272750,0,1,1,1,1,1,1,1
0.067305750,1,1,1,1,1,1,1,1
0.067314250,0,1,1,1,1,1,1,1
0.067347250,1,1,1,1,1,1,1,1
0.067355750,0,1,1,1,1,1,1,1
0.067388750,1,1,1,1,1,1,1,1
0.067397250,0,1,1,1,1,1,1,1
0.067406250,1,1,1,1,1,1,1,1
0.067414750,0,1,1,1,1,1,1,1
0.067423750,1,1,1,1,1,1,1,1
0.067432250,0,1,1,1,1,1,1,1
0.067465250,1,1,1,1,1,1,1,1
0.067473750,0,1,1,1,1,1,1,1
0.067498750,1,1,1,1,1,1,1,1
0.067515250,0,1,1,1,1,1,1,1
0.067532250,1,1,1,1,1,1,1,1
0.067540750,0,1,1,1,1,1,1,1
0.067557750,1,1,1,1,1,1,1,1
0.067566250,0,1,1,1,1,1,1,1
0.067591250,1,1,1,1,1,1,1,1
0.067600000,0,1,1,1,1,1,1,1
0.067608750,1,1,1,1,1,1,1,1
0.067633500,0,1,1,1,1,1,1,1
0.067650250,1,1,1,1,1,1,1,1
0.086699750,0,1,1,1,1,1,1,1
0.086732250,1,1,1,1,1,1,1,1
0.086763750,0,1,1,1,1,1,1,1
0.086772750,1,1,1,1,1,1,1,1
0.086781250,0,1,1,1,1,1,1,1
0.086790250,1,1,1,1,1,1,1,1
0.086798750,0,1,1,1,1,1,1,1
0.086815750,1,1,1,1,1,1,1,1
0.086840250,0,1,1,1,1,1,1,1
0.086849250,1,1,1,1,1,1,1,1
0.086857750,0,1,1,1,1,1,1,1
0.086866750,1,1,1,1,1,1,1,1
0.086883250,0,1,1,1,1,1,1,1
0.086900250,1,1,1,1,1,1,1,1
0.086924750,0,1,1,1,1,1,1,1
0.086941750,1,1,1,1,1,1,1,1
0.086958250,0,1,1,1,1,1,1,1
0.086983250,1,1,1,1,1,1,1,1
0.086991750,0,1,1,1,1,1,1,1
0.087024750,1,1,1,1,1,1,1,1
0.087033250,0,1,1,1,1,1,1,1
0.087066250,1,1,1,1,1,1,1,1
0.087074750,0,1,1,1,1,1,1,1
0.087107750,1,1,1,1,1,1,1,1
0.087148250,0,1,1,1,1,1,1,1
0.087157250,1,1,1,1,1,1,1,1
0.087189750,0,1,1,1,1,1,1,1
0.087230750,1,1,1,1,1,1,1,1
0.087239250,0,1,1,1,1,1,1,1
0.087256250,1,1,1,1,1,1,1,1
0.087264750,0,1,1,1,1,1,1,1
0.087273750,1,1,1,1,1,1,1,1
0.087290250,0,1,1,1,1,1,1,1
0.087307250,1,1,1,1,1,1,1,1
0.087315750,0,1,1,1,1,1,1,1
0.087324750,1,1,1,1,1,1,1,1
0.087341250,0,1,1,1,1,1,1,1
0.087358250,1,1,1,1,1,1,1,1
0.087398750,0,1,1,1,1,1,1,1
0.087407750,1,1,1,1,1,1,1,1
0.087440250,0,1,1,1,1,1,1,1
0.087449250,1,1,1,1,1,1,1,1
0.087481750,0,1,1,1,1,1,1,1
0.087490750,1,1,1,1,1,1,1,1
0.087523250,0,1,1,1,1,1,1,1
0.087556250,1,1,1,1,1,1,1,1
0.087564750,0,1,1,1,1,1,1,1
0.087573750,1,1,1,1,1,1,1,1
0.087590250,0,1,1,1,1,1,1,1
0.087607250,1,1,1,1,1,1,1,1
0.087615750,0,1,1,1,1,1,1,1
0.087624750,1,1,1,1,1,1,1,1
0.087633250,0,1,1,1,1,1,1,1
0.087650250,1,1,1,1,1,1,1,1
0.087666750,0,1,1,1,1,1,1,1
0.087675750,1,1,1,1,1,1,1,1
0.087684250,0,1,1,1,1,1,1,1
0.087701250,1,1,1,1,1,1,1,1
0.087710000,0,1,1,1,1,1,1,1
0.087718750,1,1,1,1,1,1,1,1
0.087814750,0,1,1,1,1,1,1,1
0.087846750,1,1,1,1,1,1,1,1
0.087878500,0,1,1,1,1,1,1,1
0.087887000,1,1,1,1,1,1,1,1
0.087895250,0,1,1,1,1,1,1,1
0.087904000,1,1,1,1,1,1,1,1
0.087912250,0,1,1,1,1,1,1,1
0.087928750,1,1,1,1,1,1,1,1
0.087961000,0,1,1,1,1,1,1,1
0.087969750,1,1,1,1,1,1,1,1
0.087994000,0,1,1,1,1,1,1,1
0.088010500,1,1,1,1,1,1,1,1
0.088050500,0,1,1,1,1,1,1,1
0.088059250,1,1,1,1,1,1,1,1
0.088067500,0,1,1,1,1,1,1,1
0.088084250,1,1,1,1,1,1,1,1
0.088092500,0,1,1,1,1,1,1,1
