Time [s],Channel 0
259.301023500,0
259.301056000,1
259.301087500,0
259.301096500,1
259.301113000,0
259.301138000,1
259.301146500,0
259.301163500,1
259.301172000,0
259.301181000,1
259.301189500,0
259.301198500,1
259.301207000,0
259.301224000,1
259.301240500,0
259.301265500,1
259.301274000,0
259.301283000,1
259.301291500,0
259.301300500,1
259.301309000,0
259.301350000,1
259.301374500,0
259.301383500,1
259.301392000,0
259.301401000,1
259.301409500,0
259.301434500,1
259.301443000,0
259.301476000,1
259.301500500,0
259.301509500,1
259.301518000,0
259.301535000,1
259.301543500,0
259.301560500,1
259.301577000,0
259.301586000,1
259.301602500,0
259.301619500,1
259.301628000,0
259.301637000,1
259.301645500,0
259.301662500,1
259.301679000,0
259.301688000,1
259.301720500,0
259.301729500,1
259.301738000,0
259.301755000,1
259.301763500,0
259.301772500,1
259.301797000,0
259.301806000,1
259.301814500,0
259.301823500,1
259.301856000,0
259.301881000,1
259.301897500,0
259.301906500,1
259.301915000,0
259.301924000,1
259.301940500,0
259.301981500,1
259.301990000,0
259.301999000,1
259.302007500,0
259.302032500,1
259.316105750,0
259.316138250,1
259.316169750,0
259.316178750,1
259.316211250,0
259.316220250,1
259.316228750,0
259.316245750,1
259.316254250,0
259.316263250,1
259.316271750,0
259.316280750,1
259.316289250,0
259.316306250,1
259.316322750,0
259.316347750,1
259.316356250,0
259.316365250,1
259.316373750,0
259.316382750,1
259.316391250,0
259.316408250,1
259.316424750,0
259.316433750,1
259.316442250,0
259.316451250,1
259.316459750,0
259.316476750,1
259.316485250,0
259.316494250,1
259.316510750,0
259.316519750,1
259.316528250,0
259.316545250,1
259.316561750,0
259.316586750,1
259.316603250,0
259.316628250,1
259.316644750,0
259.316669750,1
259.316678250,0
259.316687250,1
259.316695750,0
259.316704750,1
259.316713250,0
259.316730250,1
259.316738750,0
259.316747750,1
259.316756250,0
259.316773250,1
259.316781750,0
259.316790750,1
259.316799250,0
259.316816250,1
259.316848750,0
259.316857750,1
259.316866250,0
259.316875250,1
259.316883750,0
259.316900750,1
259.316909250,0
259.316918250,1
259.316934750,0
259.316943750,1
259.316952250,0
259.316961250,1
259.316969750,0
259.316978750,1
259.316987250,0
259.317004250,1
259.317012750,0
259.317021750,1
259.317030250,0
259.317047250,1
259.317055750,0
259.317064750,1
259.317073250,0
259.317098250,1
259.317106750,0
259.317115750,1
259.317124250,0
259.317141250,1
259.317157750,0
259.317182750,1
259.317191250,0
259.317200250,1
259.317208750,0
259.317217750,1
259.317226250,0
259.317235250,1
259.317243750,0
259.317260750,1
259.317285250,0
259.317310250,1
259.317326750,0
259.317367750,1
259.317376250,0
259.317393250,1
259.317410000,0
259.317450750,1
259.317459500,0
259.317476250,1
259.317493000,0
259.317509750,1
259.317518500,0
259.317527250,1
259.317536000,0
259.317560750,1
259.317577500,0
259.317594250,1
259.317603000,0
259.317619750,1
259.317628500,0
259.317645250,1
259.317662000,0
259.317678750,1
259.317687500,0
259.317696250,1
259.317705000,0
259.317729750,1
259.317746500,0
259.317787250,1
259.317796000,0
259.317804750,1
259.317813500,0
259.317830250,1
259.317863000,0
259.317871750,1
259.317912500,0
259.317921250,1
259.317930000,0
259.317962750,1
259.331818750,0
259.331850750,1
259.331882500,0
259.331891250,1
259.331899500,0
259.331908000,1
259.331916250,0
259.331933000,1
259.331957250,0
259.331965750,1
259.331974000,0
259.331990750,1
259.331999000,0
259.332015500,1
259.332055750,0
259.332080250,1
259.332096500,0
259.332105250,1
259.332113500,0
259.332130000,1
259.332138250,0
259.332163000,1
259.332171250,0
259.332179750,1
259.332196000,0
259.332204750,1
259.332213000,0
259.332229500,1
259.351263000,0
259.351295500,1
259.351327000,0
259.351336000,1
259.351352500,0
259.351377500,1
259.351386000,0
259.351403000,1
259.351411500,0
259.351420500,1
259.351429000,0
259.351438000,1
259.351446500,0
259.351463500,1
259.351480000,0
259.351505000,1
259.351513500,0
259.351522500,1
259.351531000,0
259.351540000,1
259.351548500,0
259.351581500,1
259.351590000,0
259.351607000,1
259.351623500,0
259.351632500,1
259.351641000,0
259.351650000,1
259.351666500,0
259.351675500,1
259.351684000,0
259.351717000,1
259.351741500,0
259.351750500,1
259.351759000,0
259.351776000,1
259.351792500,0
259.351801500,1
259.351810000,0
259.351835000,1
259.351843500,0
259.351860500,1
259.351869000,0
259.351878000,1
259.351886500,0
259.351903500,1
259.351920000,0
259.351929000,1
259.351961500,0
259.351970500,1
259.351987000,0
259.351996000,1
259.352004500,0
259.352013500,1
259.352038000,0
259.352047000,1
259.352055500,0
259.352064500,1
259.352097000,0
259.352114000,1
259.352122500,0
259.352131500,1
259.352140000,0
259.352157000,1
259.352165500,0
259.352182500,1
259.352191000,0
259.352200000,1
259.352216500,0
259.352225500,1
259.352250000,0
259.352275000,1
259.371252500,0
259.371285000,1
259.371316500,0
259.371325500,1
259.371334000,0
259.371343000,1
259.371351500,0
259.371368500,1
259.371409000,0
259.371418000,1
259.371434500,0
259.371451500,1
259.371476000,0
259.371493000,1
259.371517500,0
259.371534500,1
259.371543000,0
259.371576000,1
259.371584500,0
259.371617500,1
259.371626000,0
259.371659000,1
259.371667500,0
259.371700500,1
259.371709000,0
259.371734000,1
259.371742500,0
259.371767500,1
259.371776000,0
259.371785000,1
259.371801500,0
259.371810500,1
259.371819000,0
259.371828000,1
259.371836500,0
259.371853500,1
259.371870000,0
259.371911000,1
259.371927500,0
259.371952500,1
259.371961000,0
259.371994000,1
259.372034500,0
259.372043500,1
259.372076000,0
259.372109000,1
259.372117500,0
259.372150500,1
259.372159000,0
259.372168000,1
259.372200500,0
259.372209500,1
259.372242000,0
259.372283000,1
259.372291500,0
259.372324500,1
259.372333000,0
259.372366000,1
259.372374500,0
259.372407500,1
259.372424000,0
259.372433000,1
259.372449500,0
259.372482500,1
259.372491000,0
259.372508000,1
259.372516500,0
259.372533500,1
259.372566000,0
259.372583000,1
259.372591750,0
259.372600250,1
259.395312750,0
259.395345000,1
259.395376750,0
259.395385500,1
259.395393750,0
259.395402500,1
259.395410750,0
259.395427500,1
259.395435750,0
259.395444500,1
259.395460750,0
259.395469500,1
259.395477750,0
259.395486500,1
259.395494750,0
259.395511500,1
259.395535750,0
259.395552500,1
259.395560750,0
259.395585500,1
259.395593750,0
259.395634500,1
259.395642750,0
259.395675500,1
259.395683750,0
259.395716500,1
259.395724750,0
259.395757500,1
259.395765750,0
259.395798500,1
259.395806750,0
259.395839500,1
259.395847750,0
259.395880500,1
259.395888750,0
259.395921500,1
259.395945750,0
259.395954500,1
259.395962750,0
259.395979500,1
259.395995750,0
259.396004500,1
259.396020750,0
259.396037500,1
259.396045750,0
259.396070500,1
259.396078750,0
259.396087500,1
259.396119750,0
259.396136500,1
259.396145250,0
